Well Name,Well Number,API 14,Chosen ID,Abstract,API 10,API 12,Basin,Block,Choke Size,Completion End Date,Completion Start Date,Country,County/Parish,Current Operator,Current Operator Alias,Drill Start Date,Elevation,Elevation Type,Field,Additive Vol (1st Job),Total Fluid/Perf LL (1st Job),Total Fluid (1st Job),Frac Vendor (1st Job),First Prod Date,Total Prop (1st Job),Total Prop/Fluid (1st Job),Total Prop/Perf LL (1st Job),First Test Flow TBG Press,First Test Gas Vol,First Test Gor,First Test Oil Vol,First Test Water Vol,Treatment Type (1st Job),Ground Elevation,Has Daily Data,Has Monthly Data,Heel Latitude,Heel Longitude,Hz Well Spacing Any Zone,Hz Well Spacing Same Zone,Landing Zone,Last Prod Date Monthly,Lateral Length,Lease Name,Lease Number,Lower Perforation,Measured Depth,Oil API Gravity,Parent Child Any Zone,Parent Child Same Zone,Perf Lateral Length,Permit Date,Play,Previous Operator,Previous Operator Alias,Prop Type,Range,Section,Spud Date,State,Status,Surface Latitude,Surface Longitude,Survey,Target Formation,Toe Latitude,Toe Longitude,Additive Vol (All Jobs),Total Fluid/Perf LL (All Jobs),Total Fluid (All Jobs),Total Prop (All Jobs),Total Prop/Fluid (All Jobs),Total Prop/Perf LL (All Jobs),Township,True Vertical Depth,Vt Well Spacing Any Zone,Well Type,Cum BOE,Cum Oil,Cum Gas,Cum GOR,Cum Water,Cum BOE/Perf LL,Cum Gas/Perf LL,Cum Oil/Perf LL,Cum Water/Perf LL,First 12 BOE,First 12 BOE/Perf LL,First 12 Gas,First 12 Gas/Perf LL,First 12 GOR,First 12 Oil,First 12 Oil/Perf LL,First 12 Water,First 12 Water/Perf LL,First 6 BOE,First 6 BOE/Perf LL,First 6 Gas,First 6 Gas/Perf LL,First 6 GOR,First 6 Oil,First 6 Oil/Perf LL,First 6 Water,First 6 Water/Perf LL,Last 12 BOE,Last 12 BOE/Perf LL,Last 12 Gas,Last 12 Gas/Perf LL,Last 12 GOR,Last 12 Oil,Last 12 Oil/Perf LL,Last 12 Water,Last 12 Water/Perf LL,Last Month BOE,Last Month BOE/Perf LL,Last Month Gas,Last Month Gas/Perf LL,Last Month GOR,Last Month Oil,Last Month Oil/Perf LL,Last Month Water,Last Month Water/Perf LL,Months Produced,Created At,Updated At
DUKE 40 2,2,42317381630000,5446bcdc-72de-4ec5-aed4-920a6c6bd14b,786,4231738163,423173816300,Permian Basin,37 T1N,,04/08/2013 00:00:00,04/08/2013 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,02/09/2013 00:00:00,2729,Ground,SPRABERRY,,,,,04/01/2013 00:00:00,0,,,,140,,104,217,,2729,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,DUKE 40,43922,11164,11255,,,,2417,10/04/2012 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,37 T1N,40,02/09/2013 00:00:00,TX,Active Producer,32.1555600,-101.9376000,"T&P RR CO/ NICHOLS, C",SPRABERRY,32.1555600,-101.9376000,,,,0,,,"T&P RR CO/ NICHOLS, C",11255,,VOLATILE OIL,35761.166999816895,17766,107971,6.0774,43682,,,,,11942,,28947,,4.0673,7117,,10336,,7740,,15128,,2.8986,5219,,7269,,1067,,3375,,6.6964,504,,2757,,86.66667175292969,,226,,4.6122,49,,277,,126,02/24/2013 18:02:59,11/25/2023 17:29:00
NAIL RANCH "36" 8,8,42317393400000,14dc4358-0feb-45c8-bd95-92a67298796a,748,4231739340,423173934000,Permian Basin,38 T1N,18/64,07/29/2014 00:00:00,07/28/2014 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,05/30/2014 00:00:00,2795,Ground,SPRABERRY,0,4397.0093,1890714,Economy Polymers,07/01/2014 00:00:00,702389.5,0.04203413,1633.464,290,230,,125,414,,2795,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,430,NAIL RANCH "36",39517,11495,11570,38,,,2166,04/10/2014 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,38 T1N,36,05/30/2014 00:00:00,TX,Active Producer,32.1316800,-102.0252000,"T&P RR CO / GOSNEY, A M",SPRABERRY,32.1316800,-102.0252000,0,5773.144186046512,2482452,1624822.5,0.07776996283757212,3778.656976744186,"T&P RR CO / GOSNEY, A M",11570,,VOLATILE OIL,64277.66694641113,45879,110392,2.4062,246434,149.48294638700264,256.72558139534885,106.69534883720931,573.1023255813953,17846,41.50232558139535,21609,50.253488372093024,1.5171,14244,33.12558139534884,58839,136.83488372093024,12237,28.45813953488372,14215,33.05813953488372,1.4405,9868,22.948837209302326,39969,92.95116279069768,3792,8.81860465116279,10609,24.672093023255815,5.2416,2024,4.706976744186046,16858,39.2046511627907,327.83331298828125,0.7624030534611191,941,2.188372093023256,5.5029,171,0.39767441860465114,1465,3.4069767441860463,111,05/15/2014 22:32:10,12/07/2023 03:37:59
NAIL RANCH "12" 6,6,42317394000000,21efb84b-2ab5-4cf6-95e8-9526da9e335e,749,4231739400,423173940000,Permian Basin,38 T1S,,08/08/2014 00:00:00,08/07/2014 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,05/31/2014 00:00:00,2726,Ground,SPRABERRY,0,7045.031,2994138,Economy Polymers,08/01/2014 00:00:00,1330067.5,0.050052237,3129.5706,,178,,139,250,,2726,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,425,NAIL RANCH "12",40862,11455,11575,,,,2288,05/22/2014 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,38 T1S,12,05/31/2014 00:00:00,TX,Active Producer,32.1113400,-101.9779000,"T&P RR CO/GOSNEY, A M",SPRABERRY,32.1113400,-101.9779000,0,7045.030588235294,2994138,1330067.5,0.05005223607741642,3129.570588235294,"T&P RR CO/GOSNEY, A M",11575,,BLACK OIL,104292.83294677734,63859,242603,3.799,128198,245.39490105124082,570.8305882352942,150.2564705882353,301.64235294117645,26492,62.334117647058825,45107,106.13411764705883,2.3773,18974,44.644705882352945,33466,78.74352941176471,15104,35.538823529411765,23040,54.21176470588235,2.0455,11264,26.503529411764706,19649,46.23294117647059,6230,14.658823529411764,18165,42.741176470588236,5.6712,3203,7.536470588235294,8145,19.16470588235294,516.1666259765625,1.214509708180147,1585,3.7294117647058824,6.2897,252,0.5929411764705882,652,1.5341176470588236,110,05/25/2014 00:07:48,11/26/2023 00:34:29
LLOYD 42 6,6,42317379210000,ecee224c-7d24-4e0c-8783-9582a0e52f6a,1121,4231737921,423173792100,Permian Basin,A,64/64,10/30/2012 00:00:00,10/30/2012 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,08/30/2012 00:00:00,2565,Ground,SPRABERRY,,,1.0455796,"Chemplex, L.C.",11/01/2012 00:00:00,0.0013818049,3.8E-06,,0,564,,88,30,,2565,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,LLOYD 42,42917,10410,10717,44,,,1156,01/08/2013 00:00:00,SPRABERRY,"RESOLUTE NATURAL RES. CO., LLC",RESOLUTE NATURAL RESOURCES,Natural Sand,A,42,08/30/2012 00:00:00,TX,Active Producer,32.3560500,-101.6916000,BAUER & COCKRELL,SPRABERRY,32.3560500,-101.6916000,,,1.0455795526504517,0.001381804933771491,3.800000039429596E-06,,BAUER & COCKRELL,10717,,VOLATILE OIL,251798.83212280273,71163,1083815,15.23,43547,,,,,33504,,74647,,3.544,21063,,6262,,15949,,27304,,2.3955,11398,,3085,,15501,,84298,,58.0965,1451,,1935,,947.1666870117188,,5035,,46.6204,108,,144,,131,02/24/2013 06:20:37,11/25/2023 18:11:03
NAIL RANCH 28 1WS,1WS,42317393070000,6578f9ad-b865-451e-af8a-97788d6ed9e7,700,4231739307,423173930700,Permian Basin,38 T1N,,,05/02/2014 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,04/30/2014 00:00:00,2772,Ground,SPRABERRY,,,,,05/01/2014 00:00:00,,,,,,,,,,2772,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,NAIL RANCH 28,41446,,1490,,,,,03/28/2014 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,38 T1N,28,04/30/2014 00:00:00,TX,Active Producer,32.1426200,-102.0150000,"T&P RR CO / CLARK, H M",SPRABERRY,32.1426200,-102.0150000,,,,,,,"T&P RR CO / CLARK, H M",,,VOLATILE OIL,88907.8334197998,53141,214601,4.0383,0,,,,,32795,,66774,,3.082,21666,,0,,18811,,37633,,3.0013,12539,,0,,2407,,5926,,4.1762,1419,,0,,212.5,,549,,4.5372,121,,0,,113,05/15/2014 22:37:31,11/21/2023 11:24:59
WHITE 'D' 2,2,42317368000000,cc522f1f-b508-4096-b43c-9784644455da,543,4231736800,423173680000,Permian Basin,34 T1N,,,08/12/2011 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,07/06/2011 00:00:00,2527,Ground,SPRABERRY,,,,,08/01/2011 00:00:00,,,,,30,,50,40,,2527,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,WHITE 'D',42601,9704,9881,,,,1486,05/02/2011 00:00:00,SPRABERRY,"JM COX RESOURCES, L.P.",JM COX RESOURCES,,34 T1N,3,07/06/2011 00:00:00,TX,Active Producer,32.2877300,-101.7043000,T&P RR CO,SPRABERRY,32.2877300,-101.7043000,,,,,,,T&P RR CO,9881,,BLACK OIL,48486.166651427746,34310,85057,2.4791,68625,,,,,9313,,6339,,0.7677,8257,,10839,,5407,,2860,,0.5801,4930,,6298,,3757,,10007,,4.7903,2089,,6572,,254,,822,,7.0256,117,,378,,142,02/21/2013 13:00:43,11/30/2023 22:12:41
NAIL RANCH "36" 2,2,42317355730000,df61a681-cea8-4625-baf3-980b18122866,,4231735573,423173557300,Permian Basin,,,,04/23/2009 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,09/27/2009 00:00:00,854,Ground,SPRABERRY,,,,,04/01/2009 00:00:00,,,,,134,,121,275,,854,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,NAIL RANCH "36",39517,10814,11000,,,,2269,07/01/2010 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,,36,09/27/2009 00:00:00,TX,Active Producer,32.1249300,-102.0228000,,SPRABERRY,32.1249300,-102.0228000,,,,,,,,,,BLACK OIL,98971.16665649414,78634,122023,1.5518,199694,,,,,28645,,38458,,1.7296,22235,,49683,,17569,,21513,,1.5385,13983,,31025,,2028,,2236,,1.3511,1655,,5549,,173.6666717529297,,196,,1.3901,141,,478,,174,02/21/2013 13:00:43,11/25/2023 19:36:08
WILKINSON RANCH 23,23,42317394450000,f9b5cabf-d2de-4d42-87b3-9859df28c1d2,798,4231739445,423173944500,Permian Basin,34 T1N,,06/27/2014 00:00:00,06/26/2014 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,05/09/2014 00:00:00,2502,Ground,SPRABERRY,0,1158.1871,1671264,Catalyst,07/01/2014 00:00:00,1007175,0.06629116,697.97296,,135,,191,162,,2502,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,1443,WILKINSON RANCH,40510,10424,10557,,,,2914,05/07/2014 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,34 T1N,2,05/09/2014 00:00:00,TX,Active Producer,32.3112100,-101.7031000,"T&P RR CO / POWELL, M",SPRABERRY,32.3112100,-101.7031000,0,1158.1871101871102,1671264,1007175,0.06629116100740318,697.972972972973,"T&P RR CO / POWELL, M",10557,,VOLATILE OIL,49529.66680383682,33682,95086,2.8231,44436,34.324093419152334,65.89466389466389,23.34164934164934,30.794178794178794,26807,18.577269577269576,55322,38.33818433818434,3.1456,17587,12.187803187803187,16644,11.534303534303534,19148,13.269577269577269,44415,30.77962577962578,3.7813,11746,8.13998613998614,10531,7.297990297990298,6462,4.478170478170478,19099,13.235620235620235,5.8246,3279,2.272349272349272,10187,7.059598059598059,238.66665649414062,0.1653961583465978,730,0.5058905058905059,6.2393,117,0.08108108108108109,379,0.2626472626472626,111,05/15/2014 22:28:07,11/26/2023 01:22:16
LEWIS 15 1,1,42317392990000,8500f741-54bd-4783-ad88-98a0ac3b7254,263,4231739299,423173929900,Permian Basin,37 T1S,,05/20/2014 00:00:00,05/19/2014 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,04/04/2014 00:00:00,2699,Ground,SPRABERRY,0,,1429638,Economy Polymers,05/01/2014 00:00:00,1120422.5,0.08428648,,,328,,130,164,,2699,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,LEWIS 15,45427,10481,10615,,,,2648,03/26/2014 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,37 T1S,15,04/04/2014 00:00:00,TX,Active Producer,32.1120700,-101.9061000,T&P RR CO,SPRABERRY,32.1120700,-101.9061000,0,,1429638,1120422.5,0.08428648343225362,,T&P RR CO,10615,,VOLATILE OIL,42212.500061035156,26107,96633,3.7014,38882,,,,,16876,,28347,,2.3329,12151,,15567,,12072,,19098,,2.1485,8889,,11187,,1390,,4932,,8.6831,568,,1394,,53,,0,,0,53,,130,,113,05/15/2014 22:36:42,11/25/2023 17:50:41
SCHENECKER 18A 2,2,42317375970000,7e2e15d0-54e7-4e73-8ac6-9935db013df9,860,4231737597,423173759700,Permian Basin,38 T1N,,07/30/2012 00:00:00,07/30/2012 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,07/10/2012 00:00:00,2809,Ground,SPRABERRY,,,75225.81,Pro Petro,09/01/2012 00:00:00,0,0,,,43,,33,118,,2809,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,SCHENECKER 18A,42615,10865,11003,38,,,2345,03/12/2012 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,38 T1N,18,07/10/2012 00:00:00,TX,Active Producer,32.1706100,-102.0384000,"T&P RR CO/WOOLDRIDGE, J W",SPRABERRY,32.1706100,-102.0384000,,,75225.8125,0,0,,"T&P RR CO/WOOLDRIDGE, J W",11003,,CONDENSATE,45987.33359527588,23548,134636,5.7175,66657,,,,,14189,,39851,,5.2804,7547,,21828,,5888,,8883,,2.0157,4407,,12765,,1571,,3900,,4.2345,921,,2469,,137.8333282470703,,299,,3.3977,88,,235,,133,02/21/2013 13:00:43,11/25/2023 17:52:37
QUARTZ STONE 6 1,1,42317382400000,a96fc9b6-c83f-4c13-bdc8-9c50ce02ce25,657,4231738240,423173824000,Permian Basin,35 T1S,,03/14/2013 00:00:00,03/14/2013 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,01/30/2013 00:00:00,2695,Ground,SPRABERRY,,,43.46087,Pro Petro,04/01/2013 00:00:00,0,0,,,118,,121,289,,2695,false,true,,,,,SPRABERRY,06/01/2021 00:00:00,,QUARTZ STONE 6,43981,10829,10956,38,,,3302,11/05/2012 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,35 T1S,6,01/30/2013 00:00:00,TX,Shut In,32.1657000,-101.7630000,"T&P RR CO/MILLHOLLON, J E",SPRABERRY,32.1657000,-101.7630000,,,43.46086883544922,0,0,,"T&P RR CO/MILLHOLLON, J E",10956,,BLACK OIL,44974.49991989136,34291,64101,1.8693,50787,,,,,17239,,28200,,2.249,12539,,27528,,12478,,21272,,2.3813,8933,,20133,,2912,,855,,0.3088,2769,,0,,20,,0,,0,20,,0,,95,02/25/2013 23:24:51,11/07/2023 09:14:53
NAIL A-6 2D,2D,42317390440000,d03de82c-b009-4419-8544-9df4afb4c81d,752,4231739044,423173904400,Permian Basin,37 T1S,,,08/01/2014 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,05/01/2014 00:00:00,2737,Ground,SPRABERRY,,,,,,,,,,,,,,,2737,false,true,,,,,SPRABERRY,,,NAIL A-6,42778,4600,4740,,,,200,04/17/2014 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,37 T1S,6,05/01/2014 00:00:00,TX,Shut In,32.1247600,-101.9666000,"T&P RR CO/GOSNEY, D E",SPRABERRY,32.1247600,-101.9666000,,,,,,,"T&P RR CO/GOSNEY, D E",4740,,WATER DISPOSAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/06/2014 15:52:25,11/15/2023 16:35:42
AIRHART COLE 54 1,1,42317387550000,582bc72c-fe47-470a-9ee3-9edc49fda77b,330,4231738755,423173875500,Permian Basin,A,,10/11/2013 00:00:00,10/10/2013 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,09/06/2013 00:00:00,2600,Ground,SPRABERRY,0,,1384992,Economy Polymers,10/01/2013 00:00:00,1022622,0.08116781,,,114,,134,171,,2600,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,AIRHART COLE 54,44725,10780,10860,,,,2906,06/28/2013 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,A,54,09/06/2013 00:00:00,TX,Active Producer,32.3849500,-101.7752000,BAUER & COCKRELL,SPRABERRY,32.3849500,-101.7752000,0,,1384992,1022622,0.08116780706066945,,BAUER & COCKRELL,10860,,BLACK OIL,37643.33291387558,32759,29306,0.8946,36014,,,,,23911,,25035,,1.2683,19739,,21683,,19361,,18988,,1.1724,16196,,17786,,152,,102,,0.7556,135,,152,,15.333333015441895,,14,,1.0769,13,,15,,120,02/06/2014 08:38:06,11/25/2023 18:03:03
CYPERT 48 2,2,42317382050000,093cb64f-01e6-42d5-bd6f-9ffc40a45d30,1122,4231738205,423173820500,Permian Basin,A,,,,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,789,Ground,,,,,,,,,,,,,,,,789,false,true,,,,,,,,CYPERT 48,,,12000,,,,,10/26/2012 00:00:00,,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,A,48,,TX,Plugged & Abandoned,32.3667412,-101.6917419,BAUER & COCKRELL,,32.3667412,-101.6917419,,,,,,,BAUER & COCKRELL,,,Dry Hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/24/2013 04:59:21,01/09/2023 07:17:59
OTB JOHNSON FARM TRUST 42 13,13,42317366890000,55553f83-65b6-49dc-8df2-a088b009e8c9,1121,4231736689,423173668900,Permian Basin,A,32/64,,07/27/2011 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,06/05/2011 00:00:00,2563,Ground,SPRABERRY,,,,,08/01/2011 00:00:00,,,,300,0,,66,27,,2563,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,OTB JOHNSON FARM TRUST 42,41686,10476,10590,43.8,,,1308,06/16/2011 00:00:00,SPRABERRY,"MAK-J ENERGY PARTNERSTX),LTD.",MAKJ ENERGY PARTNERSTXLTD,,A,42,06/05/2011 00:00:00,TX,Active Producer,32.3477400,-101.6925000,BAUER & COCKRELL,SPRABERRY,32.3477400,-101.6925000,,,,,,,BAUER & COCKRELL,10590,,VOLATILE OIL,98801.83236694336,26055,436481,16.7523,19557,,,,,23642,,105970,,17.7207,5980,,1177,,13715,,59827,,15.9794,3744,,583,,5278,,26661,,31.9676,834,,2033,,376.8333435058594,,1973,,41.1042,48,,121,,145,02/21/2013 13:00:43,11/25/2023 17:32:09
WILKINSON RANCH 12,12,42317378410000,4779d75e-7002-4325-970c-a2303866fe05,1,4231737841,423173784100,Permian Basin,34 T1N,,08/02/2012 00:00:00,08/02/2012 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,08/01/2012 00:00:00,2492,Ground,SPRABERRY,,4.0694623,6096.0547,Pro Petro,09/01/2012 00:00:00,0,0,0,,232,,75,55,,2492,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,1498,WILKINSON RANCH,40510,10330,10502,,,,3062,05/29/2012 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,34 T1N,1,08/01/2012 00:00:00,TX,Active Producer,32.3083700,-101.6976000,T&P RR CO,SPRABERRY,32.3083700,-101.6976000,,4.069462408210948,6096.0546875,0,0,0,T&P RR CO,10502,,VOLATILE OIL,69048.1670999527,42359,160135,3.7804,27943,46.0935694926253,106.89919893190921,28.277036048064087,18.653538050734312,22009,14.692256341789053,38264,25.543391188251,2.4478,15632,10.43524699599466,-20377,-13.602803738317757,15131,10.100801068090787,27591,18.418558077436582,2.6197,10532,7.030707610146862,-15171,-10.127503337783711,3940,2.630173564753004,19861,13.258344459279039,31.5254,630,0.4205607476635514,4596,3.068090787716956,105.83333587646484,0.07064975692687907,575,0.38384512683578104,57.5,10,0.006675567423230975,78,0.0520694259012016,133,02/25/2013 14:05:16,11/26/2023 01:22:16
KOGER JBC 10 4,4,42317390800000,ea5c7016-c932-4069-a6bc-a2db92d66418,771,4231739080,423173908000,Permian Basin,35 T3N,,07/15/2014 00:00:00,07/14/2014 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,06/12/2014 00:00:00,2728,Ground,SPRABERRY,0,2532.5383,1722126,Economy Polymers,08/01/2014 00:00:00,888015,0.06501985,1305.9044,,36,,127,138,,2728,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,680,KOGER JBC 10,44944,10948,11320,,,,2544,01/13/2014 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,35 T3N,10,06/12/2014 00:00:00,TX,Active Producer,32.5028600,-101.8179000,"T&P RR CO/KOGER, C C",SPRABERRY,32.5028600,-101.8179000,0,4948.773529411765,3365166,1816350,0.06364238358850262,2671.1029411764707,"T&P RR CO/KOGER, C C",11320,,BLACK OIL,140574.83325195312,130801,58643,0.4483,308564,206.7276959587546,86.23970588235294,192.35441176470587,453.7705882352941,30648,45.07058823529412,23204,34.12352941176471,0.8664,26781,39.383823529411764,47892,70.42941176470588,15025,22.095588235294116,8475,12.463235294117647,0.6226,13613,20.019117647058824,23629,34.74852941176471,6457,9.495588235294118,580,0.8529411764705882,0.0912,6360,9.352941176470589,21960,32.294117647058826,464.5,0.6830882352941177,51,0.075,0.1118,456,0.6705882352941176,1620,2.3823529411764706,110,02/06/2014 16:59:09,12/07/2023 06:22:20
WILKINSON RANCH 374,374,42317391580000,a75d282c-8c71-4bb0-bbf5-a42510da5cfe,1119,4231739158,423173915800,Permian Basin,A,,,06/06/2014 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,04/25/2014 00:00:00,2548,Ground,SPRABERRY,,,,,06/01/2014 00:00:00,,,,,59,,39,292,,2548,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,1574,WILKINSON RANCH,40510,10309,10426,,,,2711,01/13/2014 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,A,37,04/25/2014 00:00:00,TX,Active Producer,32.3322800,-101.6920000,BAUER & COCKRELL,SPRABERRY,32.3322800,-101.6920000,,,,,,,BAUER & COCKRELL,10426,,VOLATILE OIL,45884.16694295406,16293,177547,10.8971,76072,29.151313178496864,112.79987293519694,10.351334180432021,48.330368487928844,25400,16.13722998729352,75276,47.824650571791615,5.8562,12854,8.166454891994917,60385,38.364040660736975,10026,6.369758576874206,11586,7.360864040660737,1.4313,8095,5.142947903430749,38099,24.20520965692503,133,0.08449809402795426,124,0.07878017789072427,1.1071,112,0.07115628970775095,466,0.2960609911054638,5.666666507720947,0.0036001693187553666,4,0.0025412960609911056,0.8,5,0.0031766200762388818,21,0.013341804320203304,112,02/06/2014 18:42:03,11/26/2023 01:22:16
NORTH DAVIS 14 1,1,42317374000000,d69b9d74-c0b8-4bf9-bb7f-a46351512178,729,4231737400,423173740000,Permian Basin,35 T3N,,03/19/2012 00:00:00,03/19/2012 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,02/16/2012 00:00:00,2742,Ground,SPRABERRY,,,,Pro Petro,03/01/2012 00:00:00,0,,,,28,,41,265,,2742,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,NORTH DAVIS 14,42952,10780,10922,,,,2945,12/14/2011 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,Natural Sand,35 T3N,14,02/16/2012 00:00:00,TX,Active Producer,32.5009600,-101.7995000,"T&P RR CO/ELLETT, T R",SPRABERRY,32.5009600,-101.7995000,,,,0,,,"T&P RR CO/ELLETT, T R",10922,,BLACK OIL,26642.166692733765,23309,19999,0.858,246880,,,,,9055,,7719,,0.9937,7768,,37009,,5391,,3788,,0.7958,4760,,20681,,1015,,1169,,1.4256,820,,25023,,162.8333282470703,,275,,2.3504,117,,3680,,139,02/21/2013 13:00:43,11/25/2023 17:33:06
WILKINSON RANCH WILKINSON RANCH,1A,42317327300000,66f18469-7795-4eb9-85e3-a5599ebbe400,798,4231732730,423173273000,Permian Basin,34 T1N,,,04/24/2012 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,12/29/1983 00:00:00,760,Ground,SPRABERRY,,,,,,,,,,,,,,,760,false,true,,,,,SPRABERRY,,4865,WILKINSON RANCH WILKINSON RANCH,996631,8065,8200,,,,4865,05/08/2012 00:00:00,SPRABERRY,"OAK BROOK ENERGY, INC.",OAK BROOK ENERGY,,34 T1N,2,12/29/1983 00:00:00,TX,Plugged & Abandoned,32.3014900,-101.7132000,"T&P RR CO/POWELL, M",SPRABERRY,32.3014900,-101.7132000,,,,,,,"T&P RR CO/POWELL, M",,,WATER DISPOSAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/21/2013 13:00:43,07/29/2023 13:45:19
SCHENECKER 24 A 5,5,42317381820000,d696a28e-773a-48a6-b62b-a6d85ea4a818,715,4231738182,423173818200,Permian Basin,38 T1N,,,02/13/2013 00:00:00,USA,MARTIN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,12/29/2012 00:00:00,2783,Ground,SPRABERRY,,,,,02/01/2013 00:00:00,,,,,205,,166,82,,2783,false,true,,,,,SPRABERRY,09/01/2023 00:00:00,,SCHENECKER 24 A,42655,11513,11640,38,,,3003,10/10/2012 00:00:00,SPRABERRY,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,38 T1N,24,12/29/2012 00:00:00,TX,Active Producer,32.1603200,-102.0299000,"T&P RR CO/DAVIS, D",SPRABERRY,32.1603200,-102.0299000,,,,,,,"T&P RR CO/DAVIS, D",11640,,BLACK OIL,198449.49961853027,171091,164151,0.9594,417212,,,,,44880,,52066,,1.4382,36202,,72252,,26061,,33136,,1.6134,20538,,40444,,16204,,9655,,0.6615,14595,,45463,,1197.8333740234375,,833,,0.7866,1059,,3357,,128,02/24/2013 06:21:14,11/25/2023 19:26:45
